,max_P,min_P,max_Q,min_Q
昱光,269.571,203.93,97.929,30.46
河曲,2312.762,1234.939,282.57,179.14
神二,1256.534,908.644,544.857,2.3760000000000012
万家寨,538.735,142.57,25.428,-52.891999999999996
神泉,932.7249999999999,543.3520000000001,432.402,1.6269999999999998
锦华,613.516,399.966,111.213,33.666
京玉,514.581,201.35399999999998,91.56,-32.628
塔山,2467.163,1136.455,179.44299999999998,-81.613
